Sr No,Date dd/mm/yyyy,Year,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,Investment Type,Amount (in '000)
17,12/20/2019,2019,Lenskart.com,E-commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000
18,11/13/2019,2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000000
19,11/14/2019,2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,486000
20,11/13/2019,2019,Sunstone Eduversity Pvt. Ltd,Ed-Tech,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Round,1500000
21,11/17/2019,2019,Burger Singh,Food-Tech,Indian Burger Brand,Gurgaon,RB Investments,Venture,Undisclosed
22,11/18/2019,2019,Healthians,Health and wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,12000000
23,11/15/2019,2019,Ninjacart,B2B,Agritech,Bangalore,Trifecta Capital Advisors,Debt,26000000
24,11/20/2019,2019,Aye Finance,Fin-Tech,Financial Services To MSMEs,Gurgaon,FinTech,Debt,17411265
25,12/11/2019,2019,SuperGaming,Gaming,Social gaming platform,Pune,Dream Incubator,Seed Round,1300000
26,11/20/2019,2019,Clumio,Software,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,135000000
27,11/11/2019,2019,eBikeGo,Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Round,300000
28,11/19/2019,2019,Digital Mall Asia,E-commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Round,220000000
29,11/18/2019,2019,Medikabazaar,Health and wellness,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,15800000
30,11/15/2019,2019,Vogo Automotive,Transportation,Scooter sharing app,Bangalore,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,283000000
32,11/25/2019,2019,Paytm,Fin-Tech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Seed Funding Round,1000000000
33,04/10/2019,2019,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,45000000
34,02/10/2019,2019,Udaan,B2B,Business development,Bangalore,"Altimeter Capital, DST Global",Series D,585000000
35,10/21/2019,2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,Undisclosed
36,05/09/2019,2019,FPL Technologies,Fin-Tech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Funding,4500000
37,04/09/2019,2019,Cashflo,Fin-Tech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000
38,04/09/2019,2019,Digital F5,Marketing,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000
39,04/09/2019,2019,3rdFlix,Software,Education Technology,Hyderabad,Exfinity Venture Partners,Pre-series A,5000000
40,04/09/2019,2019,75F,IT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000
41,04/09/2019,2019,Myelin Foundry,IT,Deep-technology,Bangalore,Endiya Partners,Seed Round,1000000
42,04/09/2019,2019,Atomberg Technology,Consumer Tech,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000
43,04/09/2019,2019,GOQii,Health and wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000
44,03/09/2019,2019,Vyapar App,Software,Mobile-based Accounting Software,Bangalore,"India Quotient, Axilor Ventures",Series A,5000000
45,01/08/2019,2019,CarDekho,E-commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000
46,01/08/2019,2019,Progcap,Fin-Tech,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000
47,01/08/2019,2019,MyPetrolPump,Retail,Fuel Delivery,Bangalore,,Seed Funding,1600000
48,01/08/2019,2019,Alteria Capital,Fin-Tech,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Venture,140000000
49,01/08/2019,2019,Pine Labs,IT,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000
50,12/08/2019,2019,Meesho,E-commerce,Social Commerce,Bangalore,Naspers,Series D,125000000
51,8/13/2019,2019,Cars24,E-commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000
52,8/13/2019,2019,Uniphore,Software,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000
53,8/23/2019,2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000
54,8/23/2019,2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bangalore,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,500000
55,8/23/2019,2019,Tala,Fin-Tech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000
56,8/22/2019,2019,INDwealth,Fin-Tech,Wealth Management,Gurgaon,Tiger Global Management,Venture,15000000
57,8/21/2019,2019,HungerBox,Food-Tech,B2B Foodtech,Bangalore,One97 Communications Ltd.,Series C,6590000
58,8/23/2019,2019,AdmitKard,Ed-Tech,University Admissions,Noida,Growth DNA,Seed Round,1000000
59,8/19/2019,2019,Mishry Reviews,Software,Product Review,Gurgaon,Vir Sanghvi,Series A,Undisclosed
60,8/19/2019,2019,Grofers,E-commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000
61,8/27/2019,2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bangalore,Westbridge Capital,Series B,3900000000
62,02/07/2019,2019,RenewBuy,Fin-Tech,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000
63,02/07/2019,2019,Atlan,IT,Big Data,Singapore,WaterBridge Ventures,Pre-series A,2500000
64,01/07/2019,2019,WizCounsel,Software,Consulting,New Delhi,Kapil Dev,Angel,145000
65,03/07/2019,2019,Ola Cabs,Transportation,Cabs,Bangalore,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000
66,01/07/2019,2019,Uniphore,AI,Speech Recognition,Taramani,March Capital Partners,Series C,38080000
68,10/07/2019,2019,"""BYJU\\'S""",Ed-Tech,Education,Bangalore,Qatar Investment Authority,Private Equity Round,150000000
69,11/07/2019,2019,Moglix,E-commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000
70,10/07/2019,2019,Ezyhaul,Software,Logistics,Singapore,Undisclosed,Series B,16000000
71,10/07/2019,2019,Indus OS,Software,Smartphone Operating System,Andheri,Ventureast,Series B,5750000
72,10/07/2019,2019,HealthAssure,Health and wellness,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000
73,09/07/2019,2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000
74,08/07/2019,2019,Board Infinity,Ed-Tech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel,319605
75,05/06/2019,2019,NoBroker,E-commerce,Real Estate,Bangalore,General Atlantic,Series C,51000000
76,04/06/2019,2019,Bira91,Food-Tech,Brewery,New Delhi,Anicut Capital,Debt,10000000
77,03/06/2019,2019,FabHotels,E-commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",No info,4889975.54
78,03/06/2019,2019,Avail Finance,Fin-Tech,FinTech,Bangalore,Matrix Partners,Series A,9000000
79,04/06/2019,2019,BharatPe,Fin-Tech,FinTech,New Delhi,Insight Partners,Series B,75000000
80,04/06/2019,2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-series A,26000000
81,03/06/2019,2019,Agara Labs,Software,Artificial Intelligence,Bangalore,Blume Ventures and RTP Global,Pre-series A,2500000
82,06/06/2019,2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",No info,2739034.68
83,06/06/2019,2019,Chakr Innovation,Agriculture,Renewable Energy,New Delhi,IAN Fund,Series A,26000000
84,06/06/2019,2019,Pratilipi,Marketing,E-Books,Bangalore,Qiming Venture Partners,Series B,15109500
85,10/06/2019,2019,Bolo App,Marketing,Video Platform,Bangalore,Nexus Venture Partners,Seed Round,430200
86,10/06/2019,2019,OkCredit,Fin-Tech,Financial Services,Haryana,Tiger Global Management,Series A,15500000
87,06/06/2019,2019,Biz2Credit,Fin-Tech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000
88,08/06/2019,2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt,3584000
89,04/06/2019,2019,Leegality,Software,Digital Documentation,Bangalore,Mumbai Angels,Series A,3400000
90,06/05/2019,2019,Ola Electric,Transportation,Cabs,Bangalore,Tata Sons,Series A,Undisclosed
91,06/05/2019,2019,Saahas Zero Waste,Waste Management Service,Optimization,Bangalore,C4D Partners,Venture,868600
92,05/05/2019,2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,Undisclosed
93,01/05/2019,2019,BlackBuck,Transportation,Logistics,Bangalore,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,150000000
94,02/05/2019,2019,Zenoti,Software,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000
95,5/28/2019,2019,Ather Energy,Automotive,Electric Vehicle,Bangalore,Sachin Bansal,Series C,51000000
96,5/28/2019,2019,FreshVnF,Agriculture,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000
97,5/30/2019,2019,GlowRoad,E-commerce,Retail,Bangalore,"Korea Investment Partners, Vertex Ventures",Series B,11500000
98,5/31/2019,2019,Bira91,Food-Tech,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000
99,4/16/2019,2019,Kuvera,Fin-Tech,Wealth Management,Bangalore,Eight Roads,Series A,45000000
100,12/04/2019,2019,Medlife,E-commerce,Online Medicine,Bangalore,Prasid Uno Family Trust,Private Equity,17000000
101,10/04/2019,2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,430665
102,4/13/2019,2019,Tripoto,Marketing,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375
103,12/04/2019,2019,Azah,Health and wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Round,200000
104,11/04/2019,2019,Setu,Fin-Tech,Banking,Bangalore,Lightspeed India Partners,Seed Round,3500000
105,10/04/2019,2019,Toppr,Ed-Tech,E-learning,Mumbai,Milestone,Debt,6320820
106,10/04/2019,2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495
107,10/04/2019,2019,Unacademy,Ed-Tech,E-learning,Bangalore,Kalyan Krishnamurthy,Seed Funding,307000
108,11/04/2019,2019,CleverTap,Software,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000
109,4/19/2019,2019,My Healthcare,E-commerce,Software Solutions,Bangalore,Sixth Sense Ventures,Series A,3000000
110,4/19/2019,2019,KrazyBee,E-commerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt,14342000
111,4/17/2019,2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture,5000000
112,4/17/2019,2019,Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,3000000
113,01/02/2019,2019,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre-series A,Undisclosed
114,08/02/2019,2019,Zilingo,E-commerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000
115,2/13/2019,2019,NanoClean Global,Technology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000
116,2/14/2018,2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000
117,03/01/2019,2019,CarDekho,Automotive,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000
118,04/01/2019,2019,Vyome Therapeutics Inc.,Health and wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000
119,04/01/2019,2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Fin-Tech,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt,5000000
120,04/12/2018,2018,Manch,Marketing,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Round,700000
121,01/12/2018,2018,UrbanClap Technologies Pvt. Ltd,Software,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000
122,02/12/2018,2018,Guiddoo,Travel,Platform for travel agents,Mumbai,Individual Investors,Pre-series A,800000
123,02/12/2018,2018,Career Anna,Ed-Tech,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-series A,572000
124,04/12/2018,2018,Nagpur Wholesale,Software,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Round,143000
125,06/12/2018,2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Round,2000000
126,06/12/2018,2018,BuildSupply,E-commerce,"Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000
127,01/11/2018,2018,GoDesi,Food-Tech,Regional Flavours,Bangalore,Lead Angels Network,Seed Funding,138995
128,03/11/2018,2018,Veritas Finance Ltd.,Fin-Tech,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000
129,06/11/2018,2018,Meesho,E-commerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000
130,08/11/2018,2018,Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed,Series A,500000
131,08/11/2018,2018,A&R Bon Vivants,Food-Tech,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,1000000
132,12/11/2018,2018,Blackbuck,Food-Tech,POS For Online Ordering,Bengaluru,Tiger Global,Series A,1000000
133,12/11/2018,2018,MilkBAsket,Food-Tech,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000
134,11/13/2018,2018,DriveU,Transportation,On-Demand Drivers,Bangalore,Stevens Creek Ventures,No info,1000000
135,11/14/2018,2018,CleanseCar,Software,Car Wash,Bangalore,Venture Catalysts,Seed Funding,500000
136,11/19/2018,2018,Automation Anywhere,Automotive,Robotics,California,SoftBank Vision Fund,Series B,300000000
137,11/20/2018,2018,HealthifyMe,Health and wellness,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B,6000000
138,11/21/2018,2018,Genius Corner,Ed-Tech,Personalized Learning,Noida,Individual investors,Seed Round,278000
139,11/22/2018,2018,Aavishkaar-Intellecap Group,Fin-Tech,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Private Equity Round,31000000
140,11/22/2018,2018,Skillbox,Software,Art,Gurugram,Individual investors,Seed Round,Undisclosed
141,11/23/2018,2018,Signzy,Fin-Tech,Digital Onboarding Solution,Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000
142,11/24/2018,2018,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000
143,11/25/2018,2018,InCred Finance,Fin-Tech,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity,42000000
144,11/25/2018,2018,Roposo,Marketing,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000
145,01/10/2018,2018,Northmist,Fashion and Apparel,Mens Wear,Delhi,Prashant Jaiswal,Seed Funding,Undisclosed
146,02/10/2018,2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed Funding,11000000
147,04/10/2018,2018,Grover Zampa,Food-Tech,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000
148,05/10/2018,2018,Droom,Automotive,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000
149,11/10/2018,2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-series A,4000000
150,12/10/2018,2018,Blackbuck,Software,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Equity Round,14680000
151,12/10/2018,2018,LetsTransport,Software,Book Trucks Online,Bangalore,Fosun International,Series C,12000000
152,01/09/2018,2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000
153,03/09/2018,2018,Udaan,Software,Logistics and Shipping,Bangalore,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity,225000000
154,03/09/2018,2018,Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Falcon Edge,Private Equity,6390000
155,04/09/2018,2018,3HCare,Health and wellness,Healthcare Service Provider,Delhi,N/A,Angel Funding,1000000
156,04/09/2018,2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity,Undisclosed
157,05/09/2018,2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000
158,05/09/2018,2018,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI\\xc2\\xa0,Private Equity,Undisclosed
159,06/09/2018,2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000
160,10/09/2018,2018,MamaEarth,Health and wellness,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000
161,11/09/2018,2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bangalore,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity,32000000
162,11/09/2018,2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt,5500000
163,11/09/2018,2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000
164,12/09/2018,2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000
165,01/08/2018,2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed Funding,400000
166,01/08/2018,2018,HealthFin,Fin-Tech,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Seed Funding,Undisclosed
167,02/08/2018,2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000
168,03/08/2018,2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000
169,07/08/2018,2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,N/A,Seed Funding,1000000
170,07/08/2018,2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity,35000000
171,07/08/2018,2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000
172,08/08/2018,2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,Seed Funding,4000000
173,08/08/2018,2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bangalore,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity,12200000
174,08/08/2018,2018,Phone Pe,Consumer Internet,UPI Payments App,Bangalore,Flipkart,Private Equity,66000000
175,09/08/2018,2018,quizizz,Ed-Tech,e-learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed Funding,3000000
176,09/08/2018,2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bangalore,AJ Ventures and Jain International Trade Organisation (JITO),Seed Funding,1000000
177,8/13/2018,2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed Funding,4000000
178,8/13/2018,2018,Observe AI,Technology,AI Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000
179,8/16/2018,2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,N/A,Seed Funding,114811
180,8/17/2018,2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000
181,8/20/2018,2018,Finzy,Fin-Tech,Online Loan Matchmaking Platform,Bangalore,N/A,Angel Funding,1000000
182,8/20/2018,2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt,4800000
183,8/22/2018,2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bangalore,CDC Group plc\\xc2\\xa0,Private Equity,6000000
184,8/22/2018,2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000
185,8/26/2018,2018,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000
186,8/26/2018,2018,Shubh Loans,Fin-Tech,\\xc2\\xa0Customer Sourcing Platform\\xc2\\xa0,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,4200000
187,8/27/2018,2018,MyUpchar,Health and wellness,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000
188,8/28/2018,2018,Narvar,IT,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bangalore,Accel (formerly known as Accel Partners),Private Equity,3000000
189,8/30/2018,2018,True North,Fin-Tech,Private Equity Firm,Mumbai,N/A,Private Equity,600000000
190,01/07/2018,2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed Funding,Undisclosed
191,02/07/2018,2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed Funding,1000000
192,04/07/2018,2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000
194,06/07/2018,2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000
195,09/07/2018,2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Seed Funding,440000
196,09/07/2018,2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed Funding,1100000
197,10/07/2018,2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed Funding,437000
198,10/07/2018,2018,iNICU,Health and wellness,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed Funding,Undisclosed
199,10/07/2018,2018,Kinara Capital,Fin-Tech,Lending Platform For Micro and Small Enterprises,Bangalore,ResponsAbility,Private Equity,5000000
200,10/07/2018,2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000
201,11/07/2018,2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000
202,12/07/2018,2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed Funding,180000
203,12/07/2018,2018,5th Vital,Health and wellness,Home diagnostics services provider,Bangalore,Brand Capital and Others,Seed Funding,500000
