User ID,Subscription Type,Join Year,Join Date,Last Payment Date,Most Watched Genre,Country,Age,Gender,Device,Plan Duration,Monthly Subscription Price,Video quality,Resolution,"Customer Life
(In Month)",Total Sales,"Total Days 
(From last payment to 31st December) "
44,Standard,2022,4/26/2022,12/26/2023,Crime,Australia,29,Male,Tablet,1 Month,499,Better,1080p,20,9980,5
45,Basic,2023,1/28/2023,9/28/2023,Mystery,Germany,43,Female,Laptop,3 Month,199,Good,720p,8,1592,94
46,Premium,2022,2/23/2022,6/27/2023,Adventure,France,34,Male,Smartphone,6 Month,649,Best,4K+HDR,16,10384,187
47,Basic,2022,10/5/2022,11/25/2023,Mystery,Brazil,39,Female,Smart TV,1 Month,199,Good,720p,13,2587,36
48,Standard,2021,9/15/2021,7/24/2023,Comedy,Mexico,32,Male,Tablet,6 Month,499,Better,1080p,22,10978,160
49,Premium,2022,11/10/2022,6/23/2023,Drama,Spain,28,Female,Laptop,6 Month,649,Best,4K+HDR,7,4543,191
50,Basic,2023,6/2/2023,10/22/2023,Horror,Italy,45,Male,Smartphone,3 Month,199,Good,720p,4,796,70
51,Premium,2023,2/27/2023,6/22/2023,Science Fiction,United States,30,Female,Smart TV,6 Month,649,Best,4K+HDR,3,1947,192
52,Basic,2022,8/29/2022,7/28/2023,Adventure,Canada,37,Male,Tablet,6 Month,199,Good,720p,10,1990,156
53,Standard,2022,1/13/2022,10/27/2023,Fantasy,United Kingdom,41,Female,Laptop,3 Month,499,Better,1080p,21,10479,65
54,Standard,2022,6/30/2022,9/26/2023,Romance,Australia,29,Male,Smartphone,3 Month,499,Better,1080p,14,6986,96
55,Basic,2023,4/20/2023,10/28/2023,Fantasy,Germany,39,Female,Smart TV,3 Month,199,Good,720p,6,1194,64
56,Premium,2022,3/15/2022,7/27/2023,Self-Help,France,36,Male,Tablet,6 Month,649,Best,4K+HDR,16,10384,157
57,Basic,2022,10/1/2022,11/25/2023,Thriller,Brazil,46,Female,Laptop,1 Month,199,Good,720p,13,2587,36
58,Standard,2021,10/8/2021,12/24/2023,Mystery,Mexico,34,Male,Smartphone,1 Month,499,Better,1080p,26,12974,7
59,Premium,2022,12/3/2022,12/23/2023,Mystery,Spain,27,Female,Smart TV,1 Month,649,Best,4K+HDR,12,7788,8
60,Basic,2023,6/14/2023,9/22/2023,Thriller,Italy,42,Male,Tablet,3 Month,199,Good,720p,3,597,100
61,Premium,2023,2/8/2023,6/22/2023,Romance,United States,28,Female,Laptop,6 Month,649,Best,4K+HDR,4,2596,192
62,Basic,2022,8/3/2022,10/28/2023,Autobiography,Canada,37,Male,Smartphone,3 Month,199,Good,720p,14,2786,64
63,Standard,2022,2/23/2022,10/27/2023,Autobiography,United Kingdom,41,Female,Smart TV,3 Month,499,Better,1080p,20,9980,65
64,Standard,2022,6/20/2022,10/26/2023,Drama,Australia,29,Male,Tablet,3 Month,499,Better,1080p,16,7984,66
65,Basic,2023,3/29/2023,7/28/2023,Biography,Germany,40,Female,Laptop,6 Month,199,Good,720p,3,597,156
66,Premium,2022,1/30/2022,6/27/2023,Fantasy,France,29,Male,Smartphone,6 Month,649,Best,4K+HDR,16,10384,187
67,Basic,2022,9/18/2022,7/25/2023,Romance,Brazil,47,Female,Smart TV,6 Month,199,Good,720p,10,1990,159
68,Standard,2021,11/9/2021,9/24/2023,Drama,Mexico,33,Male,Tablet,3 Month,499,Better,1080p,22,10978,98
69,Premium,2022,12/23/2022,12/23/2023,Science Fiction,Spain,36,Female,Laptop,1 Month,649,Best,4K+HDR,12,7788,8
70,Basic,2023,5/8/2023,11/22/2023,Autobiography,Italy,41,Male,Smartphone,1 Month,199,Good,720p,6,1194,39
71,Basic,2022,1/26/2022,12/20/2023,Comedy,United States,27,Male,Smartphone,1 Month,199,Good,720p,22,4378,11
72,Basic,2022,10/11/2022,11/22/2023,Crime,Canada,31,Female,Smartphone,1 Month,199,Good,720p,13,2587,39
73,Standard,2022,9/27/2022,11/26/2023,Action,United Kingdom,28,Female,Laptop,1 Month,499,Better,1080p,13,6487,35
74,Premium,2022,12/14/2022,11/25/2023,Autobiography,Australia,41,Female,Smartphone,1 Month,649,Best,4K+HDR,11,7139,36
75,Basic,2022,5/28/2022,12/26/2023,Non-Fiction,Germany,28,Female,Laptop,1 Month,199,Good,720p,18,3582,5
76,Basic,2021,12/29/2021,9/26/2023,Science Fiction,France,51,Female,Laptop,3 Month,199,Good,720p,20,3980,96
77,Premium,2022,12/25/2022,9/23/2023,Autobiography,Brazil,45,Female,Smartphone,3 Month,649,Best,4K+HDR,8,5192,99
78,Standard,2022,11/18/2022,11/28/2023,Crime,Mexico,49,Male,Tablet,1 Month,499,Better,1080p,12,5988,33
79,Standard,2022,12/3/2022,10/25/2023,Adventure,Spain,43,Female,Laptop,3 Month,499,Better,1080p,10,4990,67
80,Basic,2022,11/8/2022,6/22/2023,Autobiography,Italy,43,Male,Tablet,6 Month,199,Good,720p,7,1393,192
81,Premium,2023,1/11/2023,6/24/2023,Self-Help,United States,37,Male,Tablet,6 Month,649,Best,4K+HDR,5,3245,190
82,Standard,2022,12/7/2022,7/28/2023,Self-Help,Canada,35,Male,Laptop,6 Month,499,Better,1080p,7,3493,156
83,Basic,2022,10/20/2022,10/26/2023,Adventure,United Kingdom,46,Female,Smartphone,3 Month,199,Good,720p,12,2388,66
84,Standard,2023,4/13/2023,7/25/2023,Comedy,Australia,32,Male,Smartphone,6 Month,499,Better,1080p,3,1497,159
85,Premium,2023,4/6/2023,12/27/2023,Biography,Germany,37,Female,Laptop,1 Month,649,Best,4K+HDR,8,5192,4
86,Basic,2022,3/4/2022,6/25/2023,Romance,France,29,Female,Smartphone,6 Month,199,Good,720p,15,2985,189
87,Premium,2021,12/28/2021,10/23/2023,Non-Fiction,Brazil,45,Male,Smart TV,3 Month,649,Best,4K+HDR,21,13629,69
88,Standard,2022,9/27/2022,12/28/2023,Action,Mexico,47,Male,Tablet,1 Month,499,Better,1080p,15,7485,3
89,Basic,2022,10/20/2022,9/26/2023,Mystery,Spain,39,Male,Smartphone,3 Month,199,Good,720p,11,2189,96
90,Standard,2023,2/3/2023,10/23/2023,Mystery,Italy,49,Female,Smartphone,3 Month,499,Better,1080p,8,3992,69
91,Premium,2022,10/3/2022,9/23/2023,Historical Fiction,United States,39,Male,Tablet,3 Month,649,Best,4K+HDR,11,7139,99
92,Basic,2022,1/5/2022,9/28/2023,Self-Help,Canada,39,Male,Smart TV,3 Month,199,Good,720p,20,3980,94
93,Standard,2022,2/5/2022,7/26/2023,Crime,United Kingdom,35,Male,Smartphone,6 Month,499,Better,1080p,17,8483,158
94,Premium,2022,3/19/2022,7/25/2023,Science Fiction,Australia,44,Male,Smartphone,6 Month,649,Best,4K+HDR,16,10384,159
95,Basic,2022,2/28/2022,6/25/2023,Drama,Germany,34,Male,Laptop,6 Month,199,Good,720p,15,2985,189
96,Premium,2022,7/26/2022,6/24/2023,Historical Fiction,France,32,Male,Laptop,6 Month,649,Best,4K+HDR,10,6490,190
97,Basic,2022,3/5/2022,10/24/2023,Thriller,Brazil,29,Female,Tablet,3 Month,199,Good,720p,19,3781,68
98,Standard,2022,3/7/2022,9/28/2023,Non-Fiction,Mexico,31,Female,Tablet,3 Month,499,Better,1080p,18,8982,94
99,Standard,2023,1/13/2023,11/24/2023,Autobiography,Spain,29,Female,Tablet,1 Month,499,Better,1080p,10,4990,37
100,Basic,2023,1/22/2023,11/25/2023,Drama,Italy,35,Male,Laptop,1 Month,199,Good,720p,10,1990,36
101,Premium,2022,10/17/2022,9/24/2023,Comedy,United States,46,Female,Tablet,3 Month,649,Best,4K+HDR,11,7139,98
102,Basic,2022,3/29/2022,9/28/2023,Science Fiction,Canada,31,Male,Tablet,3 Month,199,Good,720p,17,3383,94
103,Standard,2022,4/4/2022,6/26/2023,Drama,United Kingdom,36,Male,Laptop,6 Month,499,Better,1080p,14,6986,188
104,Premium,2022,6/8/2022,6/25/2023,Historical Fiction,Australia,38,Male,Laptop,6 Month,649,Best,4K+HDR,12,7788,189
105,Basic,2022,3/4/2022,10/27/2023,Comedy,Germany,46,Female,Laptop,3 Month,199,Good,720p,19,3781,65
106,Premium,2022,3/18/2022,6/24/2023,Adventure,France,49,Female,Tablet,6 Month,649,Best,4K+HDR,15,9735,190
107,Basic,2022,3/7/2022,9/24/2023,Autobiography,Brazil,29,Female,Smart TV,3 Month,199,Good,720p,18,3582,98
108,Standard,2022,5/24/2022,12/25/2023,Autobiography,Mexico,27,Female,Smart TV,1 Month,499,Better,1080p,19,9481,6
109,Standard,2023,2/8/2023,12/25/2023,Thriller,Spain,35,Female,Tablet,1 Month,499,Better,1080p,10,4990,6
110,Basic,2023,1/26/2023,6/24/2023,Drama,Italy,37,Female,Laptop,6 Month,199,Good,720p,4,796,190
111,Premium,2022,7/14/2022,6/27/2023,Romance,United States,40,Male,Tablet,6 Month,649,Best,4K+HDR,11,7139,187
112,Basic,2022,6/1/2022,10/28/2023,Mystery,Canada,33,Female,Laptop,3 Month,199,Good,720p,16,3184,64
113,Standard,2022,5/7/2022,12/26/2023,Adventure,United Kingdom,37,Male,Tablet,1 Month,499,Better,1080p,19,9481,5
114,Premium,2022,11/18/2022,10/25/2023,Horror,Australia,48,Male,Smartphone,3 Month,649,Best,4K+HDR,11,7139,67
115,Basic,2022,4/5/2022,11/25/2023,Science Fiction,Germany,50,Female,Laptop,1 Month,199,Good,720p,19,3781,36
116,Premium,2022,5/19/2022,12/23/2023,Historical Fiction,France,45,Female,Smart TV,1 Month,649,Best,4K+HDR,19,12331,8
117,Basic,2021,10/30/2021,11/23/2023,Action,Brazil,40,Female,Tablet,1 Month,199,Good,720p,24,4776,38
118,Standard,2022,8/7/2022,9/27/2023,Romance,Mexico,33,Male,Smartphone,3 Month,499,Better,1080p,13,6487,95
119,Standard,2022,9/20/2022,11/25/2023,Drama,Spain,44,Female,Smartphone,1 Month,499,Better,1080p,14,6986,36
120,Basic,2022,10/18/2022,7/25/2023,Autobiography,Italy,30,Female,Smart TV,6 Month,199,Good,720p,9,1791,159
121,Premium,2022,10/3/2022,6/24/2023,Horror,United States,27,Male,Smart TV,6 Month,649,Best,4K+HDR,8,5192,190
122,Basic,2022,5/3/2022,11/28/2023,Comedy,Canada,51,Male,Smart TV,1 Month,199,Good,720p,18,3582,33
123,Standard,2022,5/25/2022,7/26/2023,Autobiography,United Kingdom,49,Female,Smartphone,6 Month,499,Better,1080p,14,6986,158
124,Premium,2022,11/5/2022,6/25/2023,Biography,Australia,43,Male,Laptop,6 Month,649,Best,4K+HDR,7,4543,189
125,Basic,2022,8/21/2022,10/24/2023,Science Fiction,Germany,42,Male,Smartphone,3 Month,199,Good,720p,14,2786,68
126,Premium,2022,9/21/2022,10/23/2023,Comedy,France,45,Male,Laptop,3 Month,649,Best,4K+HDR,13,8437,69
127,Basic,2021,11/23/2021,7/23/2023,Romance,Brazil,36,Male,Smartphone,6 Month,199,Good,720p,20,3980,161
128,Standard,2022,10/6/2022,12/27/2023,Biography,Mexico,48,Male,Smartphone,1 Month,499,Better,1080p,14,6986,4
129,Standard,2022,11/5/2022,11/23/2023,Romance,Spain,38,Male,Smart TV,1 Month,499,Better,1080p,12,5988,38
130,Basic,2023,1/7/2023,10/23/2023,Romance,Italy,43,Female,Tablet,3 Month,199,Good,720p,9,1791,69
131,Premium,2022,10/6/2022,10/23/2023,Science Fiction,United States,47,Male,Laptop,3 Month,649,Best,4K+HDR,12,7788,69
132,Basic,2022,6/24/2022,6/28/2023,Thriller,Canada,48,Female,Smart TV,6 Month,199,Good,720p,12,2388,186
133,Standard,2022,6/24/2022,10/26/2023,Horror,United Kingdom,47,Male,Smart TV,3 Month,499,Better,1080p,16,7984,66
134,Premium,2022,11/5/2022,11/25/2023,Crime,Australia,32,Male,Tablet,1 Month,649,Best,4K+HDR,12,7788,36
135,Basic,2022,7/18/2022,6/26/2023,Thriller,Germany,47,Female,Smart TV,6 Month,199,Good,720p,11,2189,188
136,Premium,2022,9/13/2022,9/26/2023,Action,France,41,Female,Smart TV,3 Month,649,Best,4K+HDR,12,7788,96
137,Basic,2022,8/10/2022,11/22/2023,Action,Brazil,49,Male,Laptop,1 Month,199,Good,720p,15,2985,39
138,Standard,2022,9/21/2022,7/23/2023,Self-Help,Mexico,28,Male,Laptop,6 Month,499,Better,1080p,10,4990,161
139,Standard,2023,3/24/2023,9/23/2023,Historical Fiction,Spain,40,Male,Smartphone,3 Month,499,Better,1080p,5,2495,99
140,Basic,2022,5/2/2022,12/23/2023,Horror,Italy,43,Female,Smartphone,1 Month,199,Good,720p,19,3781,8
141,Premium,2022,5/11/2022,6/27/2023,Autobiography,United States,42,Male,Smartphone,6 Month,649,Best,4K+HDR,13,8437,187
142,Basic,2022,6/10/2022,6/22/2023,Non-Fiction,Canada,28,Male,Smart TV,6 Month,199,Good,720p,12,2388,192
143,Standard,2022,8/31/2022,7/24/2023,Thriller,United Kingdom,30,Female,Tablet,6 Month,499,Better,1080p,10,4990,160
144,Premium,2022,8/17/2022,9/26/2023,Comedy,Australia,33,Male,Smart TV,3 Month,649,Best,4K+HDR,13,8437,96
145,Basic,2022,5/5/2022,9/26/2023,Fantasy,Germany,35,Female,Laptop,3 Month,199,Good,720p,16,3184,96
146,Basic,2022,10/6/2022,7/25/2023,Romance,France,38,Male,Tablet,6 Month,199,Good,720p,9,1791,159
147,Basic,2022,11/8/2022,12/24/2023,Comedy,Brazil,49,Female,Laptop,1 Month,199,Good,720p,13,2587,7
148,Standard,2022,11/27/2022,6/28/2023,Fantasy,Mexico,39,Female,Smartphone,6 Month,499,Better,1080p,7,3493,186
149,Premium,2022,11/17/2022,7/27/2023,Drama,Spain,46,Female,Smart TV,6 Month,649,Best,4K+HDR,8,5192,157
150,Basic,2022,12/15/2022,11/23/2023,Action,Italy,47,Female,Laptop,1 Month,199,Good,720p,11,2189,38
151,Basic,2022,12/12/2022,7/25/2023,Adventure,United States,30,Female,Laptop,6 Month,199,Good,720p,7,1393,159
152,Premium,2022,11/23/2022,6/27/2023,Non-Fiction,Canada,33,Female,Tablet,6 Month,649,Best,4K+HDR,7,4543,187
153,Standard,2022,12/25/2022,12/24/2023,Non-Fiction,United Kingdom,47,Male,Smartphone,1 Month,499,Better,1080p,11,5489,7
154,Standard,2023,3/11/2023,11/27/2023,Biography,Australia,27,Male,Laptop,1 Month,499,Better,1080p,8,3992,34
155,Basic,2022,11/18/2022,7/27/2023,Action,Germany,28,Male,Tablet,6 Month,199,Good,720p,8,1592,157
156,Premium,2022,8/19/2022,12/25/2023,Drama,France,47,Male,Smartphone,1 Month,649,Best,4K+HDR,16,10384,6
157,Standard,2022,9/27/2022,10/24/2023,Science Fiction,Brazil,30,Male,Laptop,3 Month,499,Better,1080p,12,5988,68
158,Basic,2022,10/19/2022,11/28/2023,Mystery,Mexico,47,Female,Smartphone,1 Month,199,Good,720p,13,2587,33
159,Standard,2022,12/21/2022,6/26/2023,Action,Spain,51,Female,Smart TV,6 Month,499,Better,1080p,6,2994,188
160,Premium,2022,10/27/2022,12/25/2023,Self-Help,Italy,39,Male,Smartphone,1 Month,649,Best,4K+HDR,13,8437,6
161,Basic,2022,10/23/2022,11/24/2023,Mystery,United States,45,Male,Tablet,1 Month,199,Good,720p,13,2587,37
162,Premium,2022,4/19/2022,9/25/2023,Autobiography,Canada,31,Male,Laptop,3 Month,649,Best,4K+HDR,17,11033,97
163,Standard,2022,4/5/2022,9/26/2023,Mystery,United Kingdom,29,Male,Laptop,3 Month,499,Better,1080p,17,8483,96
164,Basic,2022,3/11/2022,7/26/2023,Self-Help,Australia,42,Female,Tablet,6 Month,199,Good,720p,16,3184,158
165,Standard,2022,5/25/2022,7/25/2023,Science Fiction,Germany,49,Male,Tablet,6 Month,499,Better,1080p,14,6986,159
166,Premium,2022,4/16/2022,9/26/2023,Crime,France,42,Male,Laptop,3 Month,649,Best,4K+HDR,17,11033,96
167,Basic,2022,4/7/2022,6/24/2023,Comedy,Brazil,29,Male,Smartphone,6 Month,199,Good,720p,14,2786,190
168,Standard,2022,12/11/2022,7/28/2023,Crime,Mexico,29,Male,Tablet,6 Month,499,Better,1080p,7,3493,156
169,Premium,2023,1/20/2023,11/26/2023,Horror,Spain,49,Male,Tablet,1 Month,649,Best,4K+HDR,10,6490,35
170,Basic,2023,1/12/2023,9/25/2023,Action,Italy,32,Male,Laptop,3 Month,199,Good,720p,8,1592,97
171,Premium,2022,4/29/2022,7/24/2023,Science Fiction,United States,35,Female,Tablet,6 Month,649,Best,4K+HDR,14,9086,160
172,Basic,2022,4/27/2022,9/26/2023,Action,Canada,39,Female,Smartphone,3 Month,199,Good,720p,16,3184,96
173,Standard,2022,6/3/2022,11/25/2023,Mystery,United Kingdom,40,Male,Smartphone,1 Month,499,Better,1080p,17,8483,36
174,Standard,2022,4/23/2022,6/25/2023,Adventure,Australia,39,Female,Tablet,6 Month,499,Better,1080p,14,6986,189
175,Basic,2022,4/22/2022,7/26/2023,Autobiography,Germany,47,Female,Laptop,6 Month,199,Good,720p,15,2985,158
176,Premium,2022,4/12/2022,9/25/2023,Drama,France,37,Female,Smart TV,3 Month,649,Best,4K+HDR,17,11033,97
177,Basic,2022,5/23/2022,11/26/2023,Horror,Brazil,27,Female,Smartphone,1 Month,199,Good,720p,18,3582,35
178,Standard,2022,10/19/2022,6/26/2023,Mystery,Mexico,49,Female,Laptop,6 Month,499,Better,1080p,8,3992,188
179,Premium,2022,12/3/2022,9/26/2023,Autobiography,Spain,30,Female,Tablet,3 Month,649,Best,4K+HDR,9,5841,96
180,Basic,2022,9/26/2022,6/25/2023,Mystery,Italy,36,Male,Laptop,6 Month,199,Good,720p,8,1592,189
181,Premium,2022,6/16/2022,9/27/2023,Action,United States,33,Male,Smartphone,3 Month,649,Best,4K+HDR,15,9735,95
182,Basic,2022,5/16/2022,11/25/2023,Fantasy,Canada,30,Female,Laptop,1 Month,199,Good,720p,18,3582,36
183,Standard,2022,5/26/2022,10/26/2023,Thriller,United Kingdom,36,Female,Tablet,3 Month,499,Better,1080p,17,8483,66
184,Standard,2022,4/26/2022,7/25/2023,Action,Australia,28,Female,Laptop,6 Month,499,Better,1080p,14,6986,159
185,Basic,2022,5/12/2022,7/25/2023,Romance,Germany,47,Female,Tablet,6 Month,199,Good,720p,14,2786,159
186,Premium,2022,3/1/2022,6/25/2023,Science Fiction,France,33,Female,Smart TV,6 Month,649,Best,4K+HDR,15,9735,189
187,Basic,2022,7/10/2022,9/24/2023,Biography,Brazil,49,Female,Laptop,3 Month,199,Good,720p,14,2786,98
188,Standard,2022,7/16/2022,11/27/2023,Drama,Mexico,44,Female,Smart TV,1 Month,499,Better,1080p,16,7984,34
189,Premium,2022,9/2/2022,7/26/2023,Horror,Spain,47,Male,Smart TV,6 Month,649,Best,4K+HDR,10,6490,158
190,Basic,2022,9/18/2022,9/26/2023,Thriller,Italy,37,Female,Tablet,3 Month,199,Good,720p,12,2388,96
191,Premium,2022,7/8/2022,10/25/2023,Romance,United States,46,Male,Laptop,3 Month,649,Best,4K+HDR,15,9735,67
192,Basic,2022,6/26/2022,7/27/2023,Fantasy,Canada,50,Female,Smartphone,6 Month,199,Good,720p,13,2587,157
193,Standard,2022,8/5/2022,7/25/2023,Drama,United Kingdom,50,Male,Laptop,6 Month,499,Better,1080p,11,5489,159
194,Standard,2022,8/19/2022,7/27/2023,Historical Fiction,Australia,37,Male,Laptop,6 Month,499,Better,1080p,11,5489,157
195,Basic,2022,8/26/2022,6/24/2023,Romance,Germany,50,Female,Smartphone,6 Month,199,Good,720p,9,1791,190
196,Premium,2022,6/9/2022,9/24/2023,Science Fiction,France,45,Female,Smart TV,3 Month,649,Best,4K+HDR,15,9735,98
197,Basic,2022,9/27/2022,9/23/2023,Adventure,Brazil,45,Male,Tablet,3 Month,199,Good,720p,11,2189,99
198,Standard,2022,10/18/2022,10/27/2023,Mystery,Mexico,49,Female,Laptop,3 Month,499,Better,1080p,12,5988,65
199,Premium,2022,10/31/2022,12/25/2023,Thriller,Spain,39,Female,Tablet,1 Month,649,Best,4K+HDR,13,8437,6
200,Basic,2022,10/13/2022,9/25/2023,Science Fiction,Italy,45,Female,Tablet,3 Month,199,Good,720p,11,2189,97
201,Premium,2022,7/4/2022,9/27/2023,Thriller,United States,49,Female,Smart TV,3 Month,649,Best,4K+HDR,14,9086,95
202,Basic,2022,6/26/2022,11/27/2023,Drama,Canada,31,Female,Tablet,1 Month,199,Good,720p,17,3383,34
203,Standard,2022,7/31/2022,6/24/2023,Crime,United Kingdom,42,Female,Smart TV,6 Month,499,Better,1080p,10,4990,190
204,Standard,2022,7/27/2022,9/24/2023,Drama,Australia,37,Male,Smartphone,3 Month,499,Better,1080p,13,6487,98
205,Basic,2022,7/30/2022,12/25/2023,Thriller,Germany,30,Male,Smart TV,1 Month,199,Good,720p,16,3184,6
206,Premium,2022,8/6/2022,11/25/2023,Mystery,France,40,Male,Smartphone,1 Month,649,Best,4K+HDR,15,9735,36
207,Basic,2022,9/16/2022,12/24/2023,Mystery,Brazil,45,Female,Smartphone,1 Month,199,Good,720p,15,2985,7
208,Standard,2023,1/5/2023,11/23/2023,Science Fiction,Mexico,36,Female,Tablet,1 Month,499,Better,1080p,10,4990,38
209,Premium,2022,12/10/2022,10/24/2023,Romance,Spain,41,Male,Laptop,3 Month,649,Best,4K+HDR,10,6490,68
210,Basic,2022,11/22/2022,11/26/2023,Drama,Italy,49,Female,Laptop,1 Month,199,Good,720p,12,2388,35
211,Premium,2022,11/15/2022,11/27/2023,Fantasy,United States,40,Male,Tablet,1 Month,649,Best,4K+HDR,12,7788,34
212,Basic,2022,10/28/2022,11/26/2023,Comedy,Canada,36,Male,Smart TV,1 Month,199,Good,720p,12,2388,35
213,Standard,2022,9/8/2022,12/24/2023,Autobiography,United Kingdom,49,Female,Smart TV,1 Month,499,Better,1080p,15,7485,7
214,Standard,2022,6/30/2022,12/28/2023,Self-Help,Australia,43,Female,Laptop,1 Month,499,Better,1080p,17,8483,3
215,Basic,2022,9/2/2022,6/27/2023,Mystery,Germany,50,Female,Smartphone,6 Month,199,Good,720p,9,1791,187
