User ID,Subscription Type,Join Year,Join Date,Last Payment Date,Most Watched Genre,Country,Age,Gender,Device,Plan Duration,Monthly Subscription Price,Video quality,Resolution,"Customer Life
(In Month)","Number of 
Non-Subscription
Months",Total Earning,"Total Days 
(From last payment to 31st December)"
OTT-71,Basic,2020,10/5/2020,10/22/2023,Comedy,Malaysia,30,Male,Smartphone,1 Month,249,Good,720p,36,4,7968,70
OTT-72,Basic,2020,7/17/2020,7/20/2023,Crime,South Korea,47,Female,Smartphone,1 Month,249,Good,720p,36,6,7470,164
OTT-73,Standard,2020,4/21/2020,4/22/2023,Action,South Korea,51,Female,Laptop,1 Month,549,Better,1080p,36,6,16470,253
OTT-74,Premium,2019,3/29/2019,3/26/2023,Autobiography,Philippines,39,Female,Smartphone,1 Month,799,Best,4K+HDR,47,2,35955,280
OTT-75,Basic,2021,2/19/2021,2/25/2023,Non-Fiction,South Korea,45,Female,Laptop,1 Month,249,Good,720p,24,7,4233,309
OTT-76,Basic,2020,12/23/2020,12/26/2023,Science Fiction,India,31,Female,Laptop,3 Month,249,Good,720p,36,9,6723,5
OTT-77,Premium,2021,8/21/2021,8/26/2023,Autobiography,India,29,Female,Smartphone,3 Month,799,Best,4K+HDR,24,8,12784,127
OTT-78,Standard,2020,7/5/2020,7/23/2023,Crime,China,42,Male,Tablet,1 Month,549,Better,1080p,36,10,14274,161
OTT-79,Standard,2021,3/1/2021,3/28/2023,Adventure,Philippines,49,Female,Laptop,3 Month,549,Better,1080p,24,3,11529,278
OTT-80,Basic,2020,5/21/2020,5/25/2023,Autobiography,South Korea,42,Male,Tablet,6 Month,249,Good,720p,36,8,6972,220
OTT-81,Premium,2021,8/24/2021,8/22/2023,Self-Help,South Korea,29,Male,Tablet,6 Month,799,Best,4K+HDR,23,1,17578,131
OTT-82,Standard,2020,11/19/2020,11/24/2023,Self-Help,China,29,Male,Laptop,6 Month,549,Better,1080p,36,2,18666,37
OTT-83,Basic,2020,12/5/2020,12/28/2023,Adventure,Thailand,49,Female,Smartphone,3 Month,249,Good,720p,36,9,6723,3
OTT-84,Standard,2020,10/1/2020,10/26/2023,Comedy,Japan,32,Male,Smartphone,6 Month,549,Better,1080p,36,2,18666,66
OTT-85,Premium,2019,7/29/2019,7/25/2023,Biography,Singapore,35,Female,Laptop,1 Month,799,Best,4K+HDR,47,6,32759,159
OTT-86,Basic,2019,3/21/2019,3/27/2023,Romance,Indonesia,39,Female,Smartphone,6 Month,249,Good,720p,48,3,11205,279
OTT-87,Premium,2020,11/11/2020,11/25/2023,Non-Fiction,Thailand,40,Male,Smart TV,3 Month,799,Best,4K+HDR,36,10,20774,36
OTT-88,Standard,2020,10/21/2020,10/23/2023,Action,Indonesia,39,Male,Tablet,1 Month,549,Better,1080p,36,8,15372,69
OTT-89,Basic,2020,1/29/2020,1/28/2023,Mystery,Japan,47,Male,Smartphone,3 Month,249,Good,720p,35,9,6474,337
OTT-90,Standard,2019,12/17/2019,12/26/2023,Mystery,China,49,Female,Smartphone,3 Month,549,Better,1080p,48,4,24156,5
OTT-91,Premium,2021,3/23/2021,3/23/2023,Historical Fiction,Philippines,39,Male,Tablet,3 Month,799,Best,4K+HDR,24,4,15980,283
OTT-92,Basic,2021,12/23/2021,12/23/2023,Self-Help,South Korea,39,Male,Smart TV,3 Month,249,Good,720p,24,7,4233,8
OTT-93,Standard,2019,10/23/2019,10/28/2023,Crime,South Korea,35,Male,Smartphone,6 Month,549,Better,1080p,48,6,23058,64
OTT-94,Premium,2020,7/23/2020,7/26/2023,Science Fiction,China,44,Male,Smartphone,6 Month,799,Best,4K+HDR,36,5,24769,158
OTT-95,Basic,2021,6/5/2021,6/25/2023,Drama,Malaysia,34,Male,Laptop,6 Month,249,Good,720p,24,7,4233,189
OTT-96,Premium,2019,8/11/2019,8/25/2023,Historical Fiction,Malaysia,32,Male,Laptop,6 Month,799,Best,4K+HDR,48,9,31161,128
OTT-97,Basic,2020,12/23/2020,12/24/2023,Thriller,Indonesia,29,Female,Tablet,3 Month,249,Good,720p,36,6,7470,7
OTT-98,Standard,2019,11/5/2019,11/24/2023,Non-Fiction,Japan,31,Female,Tablet,3 Month,549,Better,1080p,48,2,25254,37
OTT-99,Standard,2020,8/17/2020,8/28/2023,Autobiography,Philippines,29,Female,Tablet,1 Month,549,Better,1080p,36,9,14823,125
OTT-100,Basic,2020,10/17/2020,10/24/2023,Drama,Japan,35,Male,Laptop,1 Month,249,Good,720p,36,2,8466,68
OTT-101,Basic,2021,10/19/2021,10/25/2023,Comedy,Vietnam,46,Female,Tablet,3 Month,799,Best,4K+HDR,24,7,13583,67
OTT-102,Premium,2021,3/11/2021,3/24/2023,Science Fiction,Indonesia,31,Male,Tablet,3 Month,249,Good,720p,24,9,3735,282
OTT-103,Basic,2020,2/21/2020,2/28/2023,Drama,Thailand,36,Male,Laptop,6 Month,549,Better,1080p,36,4,17568,306
OTT-104,Standard,2019,9/24/2019,9/26/2023,Historical Fiction,South Korea,38,Male,Laptop,6 Month,799,Best,4K+HDR,48,4,35156,96
OTT-105,Standard,2020,5/3/2020,5/25/2023,Comedy,Malaysia,46,Female,Laptop,3 Month,249,Good,720p,36,2,8466,220
OTT-106,Basic,2019,10/17/2019,10/27/2023,Adventure,Vietnam,49,Female,Tablet,6 Month,799,Best,4K+HDR,48,3,35955,65
OTT-107,Premium,2020,6/24/2020,6/24/2023,Autobiography,Vietnam,29,Female,Smart TV,3 Month,249,Good,720p,36,8,6972,190
OTT-108,Basic,2019,5/3/2019,5/24/2023,Autobiography,India,27,Female,Smart TV,1 Month,549,Better,1080p,48,6,23058,221
OTT-109,Standard,2021,1/14/2021,1/25/2023,Thriller,India,35,Female,Tablet,1 Month,549,Better,1080p,24,1,12627,340
OTT-110,Premium,2019,1/17/2019,1/25/2023,Drama,Malaysia,37,Female,Laptop,6 Month,249,Good,720p,48,1,11703,340
OTT-111,Basic,2021,8/24/2021,8/24/2023,Romance,Singapore,40,Male,Tablet,6 Month,799,Best,4K+HDR,24,7,13583,129
OTT-112,Basic,2020,1/3/2020,1/27/2023,Mystery,Thailand,33,Female,Laptop,3 Month,249,Good,720p,36,3,8217,338
OTT-113,Basic,2019,9/14/2019,9/28/2023,Adventure,Indonesia,37,Male,Tablet,1 Month,549,Better,1080p,48,4,24156,94
OTT-114,Standard,2020,3/3/2020,3/26/2023,Horror,India,48,Male,Smartphone,3 Month,799,Best,4K+HDR,36,1,27965,280
OTT-115,Basic,2019,10/19/2019,10/25/2023,Science Fiction,Singapore,50,Female,Laptop,1 Month,249,Good,720p,48,3,11205,67
OTT-116,Premium,2021,3/19/2021,3/25/2023,Historical Fiction,China,45,Female,Smart TV,1 Month,799,Best,4K+HDR,24,1,18377,281
OTT-117,Basic,2020,10/17/2020,10/23/2023,Action,Indonesia,40,Female,Tablet,1 Month,249,Good,720p,36,6,7470,69
OTT-118,Standard,2020,12/19/2020,12/23/2023,Romance,Thailand,33,Male,Smartphone,3 Month,549,Better,1080p,36,7,15921,8
OTT-119,Standard,2020,10/5/2020,10/27/2023,Drama,Thailand,44,Female,Smartphone,1 Month,549,Better,1080p,36,6,16470,65
OTT-120,Basic,2019,8/14/2019,8/25/2023,Autobiography,Philippines,30,Female,Smart TV,6 Month,249,Good,720p,48,2,11454,128
OTT-121,Premium,2019,2/3/2019,2/25/2023,Horror,China,27,Male,Smart TV,6 Month,799,Best,4K+HDR,48,4,35156,309
OTT-122,Basic,2019,7/19/2019,7/24/2023,Comedy,Indonesia,51,Male,Smart TV,1 Month,249,Good,720p,48,3,11205,160
OTT-123,Standard,2020,2/7/2020,2/28/2023,Autobiography,Malaysia,49,Female,Smartphone,6 Month,549,Better,1080p,36,4,17568,306
OTT-124,Premium,2019,1/19/2019,1/26/2023,Biography,Vietnam,43,Male,Laptop,6 Month,799,Best,4K+HDR,48,6,33558,339
OTT-125,Basic,2019,7/17/2019,7/25/2023,Science Fiction,Japan,42,Male,Smartphone,3 Month,249,Good,720p,48,4,10956,159
OTT-126,Premium,2020,5/11/2020,5/24/2023,Comedy,South Korea,45,Male,Laptop,3 Month,799,Best,4K+HDR,36,3,26367,221
OTT-127,Basic,2020,4/23/2020,4/23/2023,Romance,Indonesia,36,Male,Smartphone,6 Month,249,Good,720p,36,1,8715,252
OTT-128,Standard,2021,12/3/2021,12/23/2023,Biography,Malaysia,48,Male,Smartphone,1 Month,549,Better,1080p,24,5,10431,8
OTT-129,Standard,2019,10/3/2019,10/27/2023,Romance,South Korea,38,Male,Smart TV,1 Month,549,Better,1080p,48,7,22509,65
OTT-130,Basic,2019,12/5/2019,12/23/2023,Romance,Philippines,43,Female,Tablet,3 Month,249,Good,720p,48,3,11205,8
OTT-131,Premium,2019,9/5/2019,9/23/2023,Science Fiction,Vietnam,47,Male,Laptop,3 Month,799,Best,4K+HDR,48,1,37553,99
OTT-132,Basic,2020,1/23/2020,1/23/2023,Thriller,Singapore,48,Female,Smart TV,6 Month,249,Good,720p,36,8,6972,342
OTT-133,Standard,2019,10/24/2019,10/28/2023,Horror,Japan,47,Male,Smart TV,3 Month,549,Better,1080p,48,7,22509,64
OTT-134,Premium,2019,6/14/2019,6/26/2023,Crime,China,32,Male,Tablet,1 Month,799,Best,4K+HDR,48,2,36754,188
OTT-135,Basic,2020,10/3/2020,10/25/2023,Thriller,Singapore,47,Female,Smart TV,6 Month,249,Good,720p,36,6,7470,67
OTT-136,Premium,2021,3/7/2021,3/26/2023,Action,Thailand,41,Female,Smart TV,3 Month,799,Best,4K+HDR,24,7,13583,280
OTT-137,Basic,2020,2/5/2020,2/26/2023,Action,South Korea,49,Male,Laptop,1 Month,249,Good,720p,36,6,7470,308
OTT-138,Standard,2019,2/3/2019,2/22/2023,Self-Help,South Korea,28,Male,Laptop,6 Month,549,Better,1080p,48,8,21960,312
OTT-139,Standard,2020,8/29/2020,8/23/2023,Historical Fiction,China,40,Male,Smartphone,3 Month,549,Better,1080p,35,10,13725,130
OTT-140,Basic,2021,8/7/2021,8/23/2023,Horror,Singapore,43,Female,Smartphone,1 Month,249,Good,720p,24,3,5229,130
OTT-141,Premium,2020,3/19/2020,3/23/2023,Autobiography,Indonesia,42,Male,Smartphone,6 Month,799,Best,4K+HDR,36,10,20774,283
OTT-142,Basic,2020,9/29/2020,9/27/2023,Non-Fiction,Malaysia,28,Male,Smart TV,6 Month,249,Good,720p,35,4,7719,95
OTT-143,Standard,2019,10/23/2019,10/22/2023,Thriller,Japan,30,Female,Tablet,6 Month,549,Better,1080p,47,4,23607,70
OTT-144,Premium,2021,11/3/2021,11/24/2023,Comedy,Vietnam,33,Male,Smart TV,3 Month,799,Best,4K+HDR,24,9,11985,37
OTT-145,Basic,2021,9/7/2021,9/26/2023,Fantasy,China,35,Female,Laptop,3 Month,249,Good,720p,24,1,5727,96
OTT-146,Basic,2020,12/17/2020,12/26/2023,Romance,Thailand,38,Male,Tablet,6 Month,249,Good,720p,36,10,6474,5
OTT-147,Basic,2021,11/29/2021,11/25/2023,Comedy,Indonesia,49,Female,Laptop,1 Month,249,Good,720p,23,1,5478,36
OTT-148,Standard,2019,12/7/2019,12/24/2023,Fantasy,Vietnam,39,Female,Smartphone,6 Month,549,Better,1080p,48,7,22509,7
OTT-149,Premium,2020,5/7/2020,5/28/2023,Drama,Singapore,46,Female,Smart TV,6 Month,799,Best,4K+HDR,36,10,20774,217
OTT-150,Basic,2021,4/7/2021,4/27/2023,Action,Singapore,47,Female,Laptop,1 Month,249,Good,720p,24,3,5229,248
OTT-151,Basic,2020,1/3/2020,1/23/2023,Adventure,South Korea,30,Female,Laptop,6 Month,249,Good,720p,36,8,6972,342
OTT-152,Premium,2020,5/29/2020,5/25/2023,Non-Fiction,Philippines,33,Female,Tablet,6 Month,799,Best,4K+HDR,35,5,23970,220
OTT-153,Standard,2019,5/5/2019,5/27/2023,Non-Fiction,China,47,Male,Smartphone,1 Month,549,Better,1080p,48,4,24156,218
OTT-154,Standard,2019,6/19/2019,6/24/2023,Biography,Philippines,27,Male,Laptop,1 Month,549,Better,1080p,48,1,25803,190
OTT-155,Basic,2020,9/11/2020,9/27/2023,Action,Malaysia,28,Male,Tablet,6 Month,249,Good,720p,36,6,7470,95
OTT-156,Premium,2020,10/29/2020,10/27/2023,Drama,India,47,Male,Smartphone,1 Month,799,Best,4K+HDR,35,6,23171,65
OTT-157,Standard,2019,7/17/2019,7/25/2023,Science Fiction,China,30,Male,Laptop,3 Month,549,Better,1080p,48,3,24705,159
OTT-158,Basic,2020,12/1/2020,12/24/2023,Mystery,Malaysia,47,Female,Smartphone,1 Month,249,Good,720p,36,4,7968,7
OTT-159,Standard,2021,4/5/2021,4/28/2023,Action,Japan,51,Female,Smart TV,6 Month,549,Better,1080p,24,7,9333,247
OTT-160,Premium,2019,6/24/2019,6/26/2023,Self-Help,Japan,39,Male,Smartphone,1 Month,799,Best,4K+HDR,48,10,30362,188
OTT-161,Basic,2019,12/11/2019,12/25/2023,Mystery,China,45,Male,Tablet,1 Month,249,Good,720p,48,1,11703,6
OTT-162,Premium,2021,4/24/2021,4/24/2023,Autobiography,China,31,Male,Laptop,3 Month,799,Best,4K+HDR,24,9,11985,251
OTT-163,Standard,2019,8/23/2019,8/25/2023,Mystery,Vietnam,29,Male,Laptop,3 Month,549,Better,1080p,48,5,23607,128
OTT-164,Basic,2021,6/21/2021,6/26/2023,Self-Help,Thailand,42,Female,Tablet,6 Month,249,Good,720p,24,1,5727,188
OTT-165,Standard,2021,8/29/2021,8/26/2023,Science Fiction,Thailand,49,Male,Tablet,6 Month,549,Better,1080p,23,2,11529,127
OTT-166,Premium,2020,5/7/2020,5/25/2023,Crime,Thailand,42,Male,Laptop,3 Month,799,Best,4K+HDR,36,6,23970,220
OTT-167,Basic,2020,4/3/2020,4/26/2023,Comedy,Vietnam,29,Male,Smartphone,6 Month,249,Good,720p,36,8,6972,249
OTT-168,Standard,2021,2/1/2021,2/24/2023,Crime,Malaysia,29,Male,Tablet,6 Month,549,Better,1080p,24,2,12078,310
OTT-169,Premium,2021,3/29/2021,3/28/2023,Horror,Philippines,49,Male,Tablet,1 Month,799,Best,4K+HDR,23,5,14382,278
OTT-170,Basic,2019,1/3/2019,1/26/2023,Action,Singapore,32,Male,Laptop,3 Month,249,Good,720p,48,7,10209,339
OTT-171,Premium,2021,11/7/2021,11/25/2023,Science Fiction,Indonesia,35,Female,Tablet,6 Month,799,Best,4K+HDR,24,9,11985,36
OTT-172,Basic,2020,10/21/2020,10/24/2023,Action,Indonesia,39,Female,Smartphone,3 Month,249,Good,720p,36,9,6723,68
OTT-173,Standard,2019,2/5/2019,2/26/2023,Mystery,South Korea,40,Male,Smartphone,1 Month,549,Better,1080p,48,3,24705,308
OTT-174,Standard,2019,6/11/2019,6/25/2023,Adventure,Thailand,39,Female,Tablet,6 Month,549,Better,1080p,48,9,21411,189
OTT-175,Basic,2020,12/24/2020,12/25/2023,Autobiography,Indonesia,47,Female,Laptop,6 Month,249,Good,720p,36,6,7470,6
OTT-176,Premium,2020,11/5/2020,11/26/2023,Drama,Japan,37,Female,Smart TV,3 Month,799,Best,4K+HDR,36,10,20774,35
OTT-177,Basic,2021,10/1/2021,10/25/2023,Horror,Philippines,27,Female,Smartphone,1 Month,249,Good,720p,24,6,4482,67
OTT-178,Standard,2020,11/17/2020,11/26/2023,Mystery,Malaysia,49,Female,Laptop,6 Month,549,Better,1080p,36,6,16470,35
OTT-179,Premium,2021,8/11/2021,8/26/2023,Autobiography,South Korea,30,Female,Tablet,3 Month,799,Best,4K+HDR,24,7,13583,127
OTT-180,Basic,2021,5/24/2021,5/26/2023,Mystery,Singapore,36,Male,Laptop,6 Month,249,Good,720p,24,1,5727,219
OTT-181,Premium,2020,3/21/2020,3/25/2023,Action,South Korea,33,Male,Smartphone,3 Month,799,Best,4K+HDR,36,10,20774,281
OTT-182,Basic,2020,8/14/2020,8/27/2023,Fantasy,India,30,Female,Laptop,1 Month,249,Good,720p,36,8,6972,126
OTT-183,Standard,2019,8/11/2019,8/25/2023,Thriller,Malaysia,36,Female,Tablet,3 Month,549,Better,1080p,48,8,21960,128
OTT-184,Standard,2020,5/3/2020,5/26/2023,Action,Thailand,28,Female,Laptop,6 Month,549,Better,1080p,36,8,15372,219
OTT-185,Basic,2019,5/23/2019,5/25/2023,Romance,South Korea,47,Female,Tablet,6 Month,249,Good,720p,48,9,9711,220
OTT-186,Basic,2020,9/7/2020,9/25/2023,Science Fiction,Singapore,33,Female,Smart TV,6 Month,799,Best,4K+HDR,36,9,21573,97
OTT-187,Premium,2021,8/19/2021,8/25/2023,Biography,Philippines,49,Female,Laptop,3 Month,249,Good,720p,24,8,3984,128
OTT-188,Basic,2021,7/29/2021,7/24/2023,Drama,Japan,44,Female,Smart TV,1 Month,549,Better,1080p,23,4,10431,160
OTT-189,Standard,2019,1/7/2019,1/27/2023,Horror,Vietnam,47,Male,Smart TV,6 Month,799,Best,4K+HDR,48,2,36754,338
OTT-190,Standard,2020,1/19/2020,1/26/2023,Thriller,Singapore,37,Female,Tablet,3 Month,249,Good,720p,36,1,8715,339
OTT-191,Basic,2020,3/19/2020,3/26/2023,Romance,Japan,46,Male,Laptop,3 Month,799,Best,4K+HDR,36,9,21573,280
OTT-192,Premium,2020,1/23/2020,1/25/2023,Fantasy,Vietnam,50,Female,Smartphone,6 Month,249,Good,720p,36,3,8217,340
OTT-193,Basic,2019,12/7/2019,12/27/2023,Drama,China,50,Male,Laptop,6 Month,549,Better,1080p,48,4,24156,4
OTT-194,Standard,2020,7/14/2020,7/25/2023,Historical Fiction,Singapore,37,Male,Laptop,6 Month,549,Better,1080p,36,5,17019,159
OTT-195,Premium,2019,4/5/2019,4/27/2023,Romance,China,50,Female,Smartphone,6 Month,249,Good,720p,48,1,11703,248
