ORDERNUMBER,ORDER DATE,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CITY,COUNTRY,DEALSIZE
10402,9/24/2015,45,129.64,1,583380,127,Shipped,Motorcycles,S10_2016,Paris,France,Medium
10417,1/27/2016,45,130.83,5,588735,92,Disputed,Motorcycles,S10_2016,Madrid,Spain,Medium
10107,1/27/2016,27,224.65,4,606555,902,Shipped,Motorcycles,S10_4698,NYC,USA,Medium
10120,1/27/2016,46,201.41,2,926486,839,Shipped,Motorcycles,S10_4698,Melbourne,Australia,Large
10134,6/6/2014,31,226.58,4,702398,777,Shipped,Motorcycles,S10_4698,Paris,France,Large
10145,6/6/2014,33,156.86,8,517638,723,Shipped,Motorcycles,S10_4698,Pasadena,USA,Medium
10168,9/29/2015,20,209.15,3,418300,660,Shipped,Motorcycles,S10_4698,Burlingame,USA,Medium
10180,9/29/2015,41,216.9,11,889290,647,Shipped,Motorcycles,S10_4698,Lille,France,Large
10188,9/29/2015,45,193.66,3,871470,641,Shipped,Motorcycles,S10_4698,Bergen,Norway,Large
10210,8/3/2016,34,180.1,1,612340,587,Shipped,Motorcycles,S10_4698,Osaka,Japan,Medium
10223,1/28/2014,49,199.47,3,977403,549,Shipped,Motorcycles,S10_4698,Melbourne,Australia,Large
10237,8/8/2014,39,180.1,9,702390,506,Shipped,Motorcycles,S10_4698,NYC,USA,Large
10251,8/8/2014,43,164.61,4,707823,464,Shipped,Motorcycles,S10_4698,Newark,USA,Large
10263,8/8/2014,41,203.34,4,833694,424,Shipped,Motorcycles,S10_4698,Bridgewater,USA,Large
10275,8/14/2016,36,191.72,3,690192,400,Shipped,Motorcycles,S10_4698,Nantes,France,Medium
10285,8/14/2016,27,201.41,8,543807,366,Shipped,Motorcycles,S10_4698,Cambridge,USA,Medium
10299,12/12/2016,29,230.46,11,668334,333,Shipped,Motorcycles,S10_4698,Helsinki,Finland,Medium
10308,12/12/2016,20,228.52,1,457040,319,Shipped,Motorcycles,S10_4698,White Plains,USA,Medium
10318,6/12/2015,37,207.22,3,766714,302,Shipped,Motorcycles,S10_4698,Allentown,USA,Large
10329,6/12/2015,26,225.7,3,586820,290,Shipped,Motorcycles,S10_4698,NYC,USA,Medium
10339,6/26/2016,39,76.67,3,299013,283,Shipped,Motorcycles,S10_4698,Minato-ku,Japan,Small
10362,6/26/2016,22,166.55,4,366410,241,Shipped,Motorcycles,S10_4698,Burlingame,USA,Medium
10374,6/26/2016,22,174.29,1,383438,214,Shipped,Motorcycles,S10_4698,South Brisbane,Australia,Medium
10388,3/19/2016,21,86.77,7,182217,185,Shipped,Motorcycles,S10_4698,New Bedford,USA,Small
10403,3/19/2016,66,180.1,9,1188660,150,Shipped,Motorcycles,S10_4698,Liverpool,UK,Large
10417,12/1/2016,56,164.61,4,921816,116,Disputed,Motorcycles,S10_4698,Madrid,Spain,Large
10105,12/1/2016,50,144.16,2,720800,939,Shipped,Classic Cars,S10_4757,Kobenhavn,Denmark,Large
10119,12/1/2016,46,108.8,11,500480,864,Shipped,Classic Cars,S10_4757,Salzburg,Austria,Medium
10129,12/1/2016,33,133.28,2,439824,820,Shipped,Classic Cars,S10_4757,London,UK,Medium
10143,6/14/2017,49,114.24,15,559776,762,Shipped,Classic Cars,S10_4757,New Bedford,USA,Medium
10155,6/14/2017,32,141.44,13,452608,706,Shipped,Classic Cars,S10_4757,Helsinki,Finland,Medium
10167,3/24/2016,44,134.64,9,592416,690,Cancelled,Classic Cars,S10_4757,Boras,Sweden,Medium
10178,11/18/2016,24,145.52,12,349248,675,Shipped,Classic Cars,S10_4757,Toulouse,France,Medium
10186,11/18/2016,26,148.24,9,385424,670,Shipped,Classic Cars,S10_4757,London,UK,Medium
10197,8/11/2017,45,118.32,6,532440,659,Shipped,Classic Cars,S10_4757,Barcelona,Spain,Medium
10222,8/11/2017,49,122.4,12,599760,575,Shipped,Classic Cars,S10_4757,San Diego,USA,Medium
10248,8/11/2017,20,145.52,3,291040,499,Cancelled,Classic Cars,S10_4757,NYC,USA,Small
10261,8/11/2017,27,125.12,1,337824,459,Shipped,Classic Cars,S10_4757,Montreal,Canada,Medium
10273,8/11/2017,30,116.96,4,350880,426,Shipped,Classic Cars,S10_4757,Bruxelles,Belgium,Medium
10283,8/11/2017,25,119.68,6,299200,397,Shipped,Classic Cars,S10_4757,Tsawassen,Canada,Small
10295,8/11/2017,24,142.8,1,342720,377,Shipped,Classic Cars,S10_4757,Boston,USA,Medium
10307,8/11/2017,22,122.4,9,269280,344,Shipped,Classic Cars,S10_4757,Philadelphia,USA,Small
10316,8/25/2015,33,125.12,17,412896,327,Shipped,Classic Cars,S10_4757,Cowes,UK,Medium
10325,8/25/2015,47,64.93,6,305171,324,Shipped,Classic Cars,S10_4757,Stavern,Norway,Medium
10337,8/25/2015,25,48.05,8,120125,309,Shipped,Classic Cars,S10_4757,NYC,USA,Small
10350,8/25/2015,26,75.47,5,196222,299,Shipped,Classic Cars,S10_4757,Madrid,Spain,Small
10359,8/25/2015,48,54.68,6,262464,287,Shipped,Classic Cars,S10_4757,Reims,France,Small
10373,11/7/2015,39,103.75,3,404625,241,Shipped,Classic Cars,S10_4757,Oulu,Finland,Medium
10395,11/7/2015,32,105.33,2,337056,196,Shipped,Classic Cars,S10_4757,Paris,France,Medium
10400,12/6/2014,64,150.96,9,966144,182,Shipped,Classic Cars,S10_4757,San Jose,USA,Large
10414,12/6/2014,19,145.52,3,276488,148,On Hold,Classic Cars,S10_4757,Boston,USA,Small
10103,5/15/2014,42,128.53,4,539826,977,Shipped,Classic Cars,S10_4962,Stavern,Norway,Medium
10114,5/15/2014,31,138.88,8,430528,916,Shipped,Classic Cars,S10_4962,Paris,France,Medium
10126,5/15/2014,22,152.17,4,334774,860,Shipped,Classic Cars,S10_4962,Madrid,Spain,Medium
10140,5/15/2014,26,122.62,4,318812,804,Shipped,Classic Cars,S10_4962,Burlingame,USA,Medium
10150,10/20/2016,20,159.56,1,319120,748,Shipped,Classic Cars,S10_4962,Singapore,Singapore,Medium
10164,10/20/2016,21,168.42,2,353682,717,Resolved,Classic Cars,S10_4962,Graz,Austria,Medium
10175,11/3/2016,33,162.51,9,536283,702,Shipped,Classic Cars,S10_4962,London,UK,Medium
10183,11/3/2016,28,122.62,1,343336,696,Shipped,Classic Cars,S10_4962,Philadelphia,USA,Medium
10194,12/5/2016,26,163.99,4,426374,685,Shipped,Classic Cars,S10_4962,Lyon,France,Medium
10207,4/21/2016,31,131.49,15,407619,672,Shipped,Classic Cars,S10_4962,Boston,USA,Medium
10217,4/21/2016,48,146.26,4,702048,616,Shipped,Classic Cars,S10_4962,Singapore,Singapore,Large
10229,8/7/2017,50,128.53,9,642650,582,Shipped,Classic Cars,S10_4962,San Rafael,USA,Medium
10245,8/8/2017,28,163.99,2,459172,529,Shipped,Classic Cars,S10_4962,New Haven,USA,Medium
10259,12/14/2017,26,155.13,12,403338,488,Shipped,Classic Cars,S10_4962,Singapore,Singapore,Medium
10270,12/14/2017,32,134.44,2,430208,455,Shipped,Classic Cars,S10_4962,Chatswood,Australia,Medium
10281,3/19/2015,44,159.56,9,702064,425,Shipped,Classic Cars,S10_4962,Allentown,USA,Large
10291,12/15/2014,30,128.53,4,385590,406,Shipped,Classic Cars,S10_4962,Boras,Sweden,Medium
10305,12/15/2014,38,175.81,13,668078,372,Shipped,Classic Cars,S10_4962,Cambridge,USA,Medium
10313,10/2/2017,40,166.95,7,667800,364,Shipped,Classic Cars,S10_4962,Vancouver,Canada,Medium
10322,11/26/2016,46,61.99,8,285154,352,Shipped,Classic Cars,S10_4962,Nashua,USA,Small
10334,11/30/2017,26,122.62,2,318812,338,On Hold,Classic Cars,S10_4962,Lule,Sweden,Medium
10347,11/17/2017,27,164,2,442800,329,Shipped,Classic Cars,S10_4962,Melbourne,Australia,Medium
10357,8/20/2015,43,134.44,9,578092,319,Shipped,Classic Cars,S10_4962,San Rafael,USA,Medium
10370,8/20/2015,35,65.63,4,229705,279,Shipped,Classic Cars,S10_4962,North Sydney,Australia,Small
10391,10/14/2017,37,46.9,7,173530,231,Shipped,Classic Cars,S10_4962,North Sydney,Australia,Small
10411,10/14/2017,27,163.99,2,442773,179,Shipped,Classic Cars,S10_4962,Montreal,Canada,Medium
10425,10/14/2017,38,155.13,12,589494,150,In Process,Classic Cars,S10_4962,Nantes,France,Medium
10108,11/4/2017,33,159.55,6,526515,971,Shipped,Classic Cars,S12_1099,Makati City,Philippines,Medium
10122,11/4/2017,42,180.95,10,759990,906,Shipped,Classic Cars,S12_1099,Marseille,France,Large
10135,11/4/2017,42,190.68,7,800856,852,Shipped,Classic Cars,S12_1099,San Rafael,USA,Large
10147,11/4/2017,48,192.62,7,924576,788,Shipped,Classic Cars,S12_1099,Brickhaven,USA,Large
10169,3/24/2017,30,167.33,2,501990,729,Shipped,Classic Cars,S12_1099,North Sydney,Australia,Medium
10181,11/3/2014,27,200.41,14,541107,722,Shipped,Classic Cars,S12_1099,Bergen,Norway,Medium
10191,7/26/2017,21,182.9,3,384090,715,Shipped,Classic Cars,S12_1099,Koln,Germany,Medium
10203,7/26/2017,20,196.52,8,393040,704,Shipped,Classic Cars,S12_1099,Madrid,Spain,Medium
10211,12/31/2014,41,182.9,2,749890,661,Shipped,Classic Cars,S12_1099,Paris,France,Large
10225,9/6/2016,27,167.33,9,451791,624,Shipped,Classic Cars,S12_1099,Gensve,Switzerland,Medium
10238,9/6/2016,28,206.24,3,577472,579,Shipped,Classic Cars,S12_1099,Kobenhavn,Denmark,Medium
10253,9/6/2016,24,163.44,13,392256,527,Cancelled,Classic Cars,S12_1099,Liverpool,UK,Medium
10266,9/6/2016,44,208.19,14,916036,493,Shipped,Classic Cars,S12_1099,Reggio Emilia,Italy,Large
10276,9/6/2016,50,192.62,3,963100,467,Shipped,Classic Cars,S12_1099,Brickhaven,USA,Large
10287,9/6/2016,21,163.44,12,343224,440,Shipped,Classic Cars,S12_1099,Gensve,Switzerland,Medium
10300,2/14/2017,33,167.33,5,552189,771,Shipped,Classic Cars,S12_1099,Frankfurt,Germany,Medium
10310,11/2/2017,33,210.14,10,693462,395,Shipped,Classic Cars,S12_1099,Koln,Germany,Medium
10320,11/2/2017,31,221.81,3,687611,378,Shipped,Classic Cars,S12_1099,Lule,Sweden,Medium
10329,11/2/2017,41,71.47,5,293027,367,Shipped,Classic Cars,S12_1099,NYC,USA,Small
10341,7/14/2014,45,79.65,2,358425,359,Shipped,Classic Cars,S12_1099,Salzburg,Austria,Medium
10363,7/14/2014,33,85.39,3,281787,317,Shipped,Classic Cars,S12_1099,Espoo,Finland,Small
10375,7/14/2014,45,76,7,342000,290,Shipped,Classic Cars,S12_1099,Nantes,France,Medium
10389,7/14/2014,26,99.04,4,257504,262,Shipped,Classic Cars,S12_1099,Boras,Sweden,Small
10419,5/26/2017,12,163.44,13,196128,188,Shipped,Classic Cars,S12_1099,Salzburg,Austria,Small
10105,5/26/2017,41,211.96,15,869036,1015,Shipped,Classic Cars,S12_1108,Kobenhavn,Denmark,Large
10117,11/14/2016,33,182.86,9,603438,952,Shipped,Classic Cars,S12_1108,Singapore,Singapore,Medium
10127,11/14/2016,46,245.2,2,1127920,905,Shipped,Classic Cars,S12_1108,NYC,USA,Large
10142,12/6/2016,33,243.13,12,802329,840,Shipped,Classic Cars,S12_1108,San Rafael,USA,Large
10153,3/8/2017,20,245.2,11,490400,790,Shipped,Classic Cars,S12_1108,Madrid,Spain,Medium
10165,9/25/2017,44,195.33,3,859452,767,Shipped,Classic Cars,S12_1108,Singapore,Singapore,Large
10176,9/25/2017,33,226.5,2,747450,753,Shipped,Classic Cars,S12_1108,Reggio Emilia,Italy,Large
10185,2/15/2014,21,184.94,13,388374,746,Shipped,Classic Cars,S12_1108,New Bedford,USA,Medium
10196,2/15/2014,47,189.1,5,888770,735,Shipped,Classic Cars,S12_1108,New Haven,USA,Large
10208,2/15/2014,46,187.02,13,860292,699,Shipped,Classic Cars,S12_1108,Lyon,France,Large
10220,2/15/2014,32,224.42,2,718144,659,Shipped,Classic Cars,S12_1108,Dublin,Ireland,Large
10231,2/15/2014,42,199.49,2,837858,625,Shipped,Classic Cars,S12_1108,Madrid,Spain,Large
10247,2/15/2014,44,241.05,2,1060620,579,Shipped,Classic Cars,S12_1108,Espoo,Finland,Large
10272,11/14/2017,35,166.24,2,581840,504,Shipped,Classic Cars,S12_1108,Allentown,USA,Medium
10282,9/2/2017,41,172.47,5,707127,474,Shipped,Classic Cars,S12_1108,San Rafael,USA,Large
10293,10/13/2015,46,182.86,8,841156,455,Shipped,Classic Cars,S12_1108,Torino,Italy,Large
10306,10/13/2015,31,211.96,13,657076,421,Shipped,Classic Cars,S12_1108,Manchester,UK,Medium
10314,12/1/2017,38,209.88,5,797544,414,Shipped,Classic Cars,S12_1108,Aaarhus,Denmark,Large
10325,12/1/2017,42,64,8,268800,401,Shipped,Classic Cars,S12_1108,Stavern,Norway,Small
10336,2/9/2014,33,57.22,10,188826,387,Shipped,Classic Cars,S12_1108,Paris,France,Small
10348,9/25/2015,48,52.36,8,251328,407,Shipped,Classic Cars,S12_1108,Madrid,Spain,Small
10359,9/25/2015,42,113.44,8,476448,364,Shipped,Classic Cars,S12_1108,Reims,France,Medium
10371,8/28/2017,32,111.27,6,356064,326,Shipped,Classic Cars,S12_1108,San Rafael,USA,Medium
10382,8/28/2017,34,112.46,10,382364,302,Shipped,Classic Cars,S12_1108,San Rafael,USA,Medium
10395,5/17/2016,33,69.12,1,228096,274,Shipped,Classic Cars,S12_1108,Paris,France,Small
10413,5/17/2016,36,241.05,2,867780,226,Shipped,Classic Cars,S12_1108,Bridgewater,USA,Large
10103,9/6/2017,27,125.74,8,339498,1054,Shipped,Trucks and Buses,S12_1666,Stavern,Norway,Medium
10113,10/10/2014,21,162.64,2,341544,999,Shipped,Trucks and Buses,S12_1666,San Rafael,USA,Medium
10126,5/29/2016,21,116.17,8,243957,937,Shipped,Trucks and Buses,S12_1666,Madrid,Spain,Small
10140,5/29/2016,38,127.1,8,482980,881,Shipped,Trucks and Buses,S12_1666,Burlingame,USA,Medium
10150,12/5/2017,30,136.67,5,410010,825,Shipped,Trucks and Buses,S12_1666,Singapore,Singapore,Medium
10164,12/5/2017,49,133.94,6,656306,794,Resolved,Trucks and Buses,S12_1666,Graz,Austria,Medium
10174,12/5/2017,43,158.54,1,681722,779,Shipped,Trucks and Buses,S12_1666,South Brisbane,Australia,Medium
10183,9/24/2016,41,150.34,5,616394,773,Shipped,Trucks and Buses,S12_1666,Philadelphia,USA,Medium
10194,9/15/2017,38,129.84,8,493392,762,Shipped,Trucks and Buses,S12_1666,Lyon,France,Medium
10206,1/4/2017,28,144.87,3,405636,753,Shipped,Trucks and Buses,S12_1666,Vancouver,Canada,Medium
10216,9/4/2017,43,133.94,1,575942,695,Shipped,Trucks and Buses,S12_1666,Versailles,France,Medium
10229,11/23/2014,25,138.04,13,345100,659,Shipped,Trucks and Buses,S12_1666,San Rafael,USA,Medium
10245,11/24/2015,38,155.8,6,592040,606,Shipped,Trucks and Buses,S12_1666,New Haven,USA,Medium
10258,6/26/2017,41,162.64,3,666824,565,Shipped,Trucks and Buses,S12_1666,Minato-ku,Japan,Medium
10270,6/26/2017,28,146.24,6,409472,532,Shipped,Trucks and Buses,S12_1666,Chatswood,Australia,Medium
10281,12/3/2017,25,117.54,13,293850,502,Shipped,Trucks and Buses,S12_1666,Allentown,USA,Small
10291,4/26/2014,41,155.8,8,638780,483,Shipped,Trucks and Buses,S12_1666,Boras,Sweden,Medium
10304,9/25/2014,39,164,3,639600,451,Shipped,Trucks and Buses,S12_1666,Versailles,France,Medium
10313,9/25/2014,21,127.1,11,266910,441,Shipped,Trucks and Buses,S12_1666,Vancouver,Canada,Small
10322,3/2/2017,27,177.19,9,478413,429,Shipped,Trucks and Buses,S12_1666,Nashua,USA,Medium
10347,11/21/2017,29,123.67,3,358643,405,Shipped,Trucks and Buses,S12_1666,Melbourne,Australia,Medium
10357,6/1/2017,49,121.64,8,596036,395,Shipped,Trucks and Buses,S12_1666,San Rafael,USA,Medium
10370,6/1/2017,49,172.86,8,847014,355,Shipped,Trucks and Buses,S12_1666,North Sydney,Australia,Large
10391,4/22/2015,39,63.2,9,246480,307,Shipped,Trucks and Buses,S12_1666,North Sydney,Australia,Small
10411,4/22/2015,40,155.8,6,623200,255,Shipped,Trucks and Buses,S12_1666,Montreal,Canada,Medium
10424,4/22/2015,49,162.64,3,796936,226,In Process,Trucks and Buses,S12_1666,Madrid,Spain,Large
10107,4/22/2015,21,144.6,1,303660,1054,Shipped,Motorcycles,S12_2823,NYC,USA,Medium
10121,4/22/2015,50,165.68,4,828400,983,Shipped,Motorcycles,S12_2823,Reims,France,Large
10134,4/22/2015,20,135.56,1,271120,929,Shipped,Motorcycles,S12_2823,Paris,France,Small
10145,4/22/2015,49,170.2,5,833980,875,Shipped,Motorcycles,S12_2823,Pasadena,USA,Large
10169,4/22/2015,35,132.55,13,463925,805,Shipped,Motorcycles,S12_2823,North Sydney,Australia,Medium
10180,4/22/2015,40,168.69,8,674760,799,Shipped,Motorcycles,S12_2823,Lille,France,Medium
10189,9/24/2015,28,161.16,1,451248,793,Shipped,Motorcycles,S12_2823,Pasadena,USA,Medium
10211,3/30/2014,36,132.55,13,477180,736,Shipped,Motorcycles,S12_2823,Paris,France,Medium
10224,3/30/2014,43,141.58,6,608794,700,Shipped,Motorcycles,S12_2823,Lille,France,Medium
10237,3/30/2014,32,131.04,6,419328,658,Shipped,Motorcycles,S12_2823,NYC,USA,Medium
10251,3/30/2014,46,164.18,1,755228,616,Shipped,Motorcycles,S12_2823,Newark,USA,Large
10263,8/31/2016,48,134.05,1,643440,576,Shipped,Motorcycles,S12_2823,Bridgewater,USA,Medium
10276,3/12/2017,43,120.5,14,518150,542,Shipped,Motorcycles,S12_2823,Brickhaven,USA,Medium
10285,3/12/2017,49,140.08,5,686392,518,Shipped,Motorcycles,S12_2823,Cambridge,USA,Medium
10299,11/11/2015,24,173.21,8,415704,485,Shipped,Motorcycles,S12_2823,Helsinki,Finland,Medium
10309,11/11/2015,26,179.24,4,466024,471,Shipped,Motorcycles,S12_2823,Stavern,Norway,Medium
10319,4/9/2016,30,137.06,9,411180,453,Shipped,Motorcycles,S12_2823,NYC,USA,Medium
10329,4/9/2016,24,147.61,6,354264,442,Shipped,Motorcycles,S12_2823,NYC,USA,Medium
10341,2/26/2017,55,147.61,8,811855,434,Shipped,Motorcycles,S12_2823,Salzburg,Austria,Large
10362,7/25/2017,22,176.23,1,387706,393,Shipped,Motorcycles,S12_2823,Burlingame,USA,Medium
10375,7/25/2017,49,78.92,13,386708,365,Shipped,Motorcycles,S12_2823,Nantes,France,Medium
10388,7/25/2017,44,135.26,6,595144,337,Shipped,Motorcycles,S12_2823,New Bedford,USA,Medium
10403,11/8/2016,66,131.04,6,864864,302,Shipped,Motorcycles,S12_2823,Liverpool,UK,Large
10417,11/8/2016,21,164.18,1,344778,268,Disputed,Motorcycles,S12_2823,Madrid,Spain,Medium
10104,9/29/2017,34,175.25,1,595850,1102,Shipped,Classic Cars,S12_3148,Madrid,Spain,Medium
10117,9/29/2017,43,137.48,10,591164,1028,Shipped,Classic Cars,S12_3148,Singapore,Singapore,Medium
10127,9/29/2017,46,160.14,3,736644,981,Shipped,Classic Cars,S12_3148,NYC,USA,Large
10142,9/10/2017,33,151.08,13,498564,916,Shipped,Classic Cars,S12_3148,San Rafael,USA,Medium
10153,9/10/2017,42,128.42,12,539364,866,Shipped,Classic Cars,S12_3148,Madrid,Spain,Medium
10165,9/10/2017,34,143.53,4,488002,843,Shipped,Classic Cars,S12_3148,Singapore,Singapore,Medium
10176,11/30/2015,47,178.27,3,837869,829,Shipped,Classic Cars,S12_3148,Reggio Emilia,Italy,Large
